uid,sentence
0,Gloomhaven  is a game of Euro-inspired tactical combat in a persistent world of shifting motives.
0,Players will take on the role of a wandering adventurer with their own special set of skills and their own reasons for traveling to this dark corner of the world.
0,Players must work together out of necessity to clear out menacing dungeons and forgotten ruins.
0,"In the process, they will enhance their abilities with experience and loot, discover new locations to explore and plunder, and expand an ever-branching story fueled by the decisions they make."
0,This is a game with a persistent and changing world that is ideally played over many game sessions.
0,"After a scenario, players will make decisions on what to do, which will determine how the story continues, kind of like a “Choose Your Own Adventure” book."
0,Playing through a scenario is a cooperative affair where players will fight against automated monsters using an innovative card system to determine the order of play and what a player does on their turn.
0,"Each turn, a player chooses two cards to play out of their hand."
0,The number on the top card determines their initiative for the round.
0,"Each card also has a top and bottom power, and when it is a player’s turn in the initiative order, they determine whether to use the top power of one card and the bottom power of the other, or vice-versa."
0,"Players must be careful, though, because over time they will permanently lose cards from their hands."
0,"If they take too long to clear a dungeon, they may end up exhausted and be forced to retreat."
1,"Pandemic Legacy is a co-operative campaign game, with an overarching story-arc played through 12-24 sessions, depending on how well your group does at the game."
1,"At the beginning, the game starts very similar to basic Pandemic, in which your team of disease-fighting specialists races against the clock to travel around the world, treating disease hotspots while researching cures for each of four plagues before they get out of hand."
1,"During a player's turn, they have four actions available, with which they may travel around in the world in various ways (sometimes needing to discard a card), build structures like research stations, treat diseases (removing one cube from the board; if all cubes of a color have been removed, the disease has been eradicated), trade cards with other players, or find a cure for a disease (requiring five cards of the same color to be discarded while at a research station)."
1,Each player has a unique role with special abilities to help them at these actions.
1,"After a player has taken their actions, they draw two cards."
1,"These cards can include epidemic cards, which will place new disease cubes on the board, and can lead to an outbreak, spreading disease cubes even further."
1,"Outbreaks additionally increase the panic level of a city, making that city more expensive to travel to."
1,"Each month in the game, you have two chances to achieve that month's objectives."
1,"If you succeed, you win and immediately move on to the next month."
1,"If you fail, you have a second chance, with more funding for beneficial event cards."
1,"During the campaign, new rules and components will be introduced."
1,"These will sometimes require you to permanently alter the components of the game; this includes writing on cards, ripping up cards, and placing permanent stickers on components."
1,"Your characters can gain new skills, or detrimental effects."
1,"A character can even be lost entirely, at which point it's no longer available for play."
1,Part of the Pandemic series
2,"Brass: Birmingham is an economic strategy game sequel to Martin Wallace' 2007 masterpiece, Brass."
2,"Brass: Birmingham tells the story of competing entrepreneurs in Birmingham during the industrial revolution, between the years of 1770-1870."
2,"As in its predecessor, you must develop, build, and establish your industries and network, in an effort to exploit low or high market demands."
2,"Each round, players take turns according to the turn order track, receiving two actions to perform any of the following actions (found in the original game):
1) Build - Pay required resources and place an industry tile."
2,"2) Network - Add a rail / canal link, expanding your network."
2,3) Develop - Increase the VP value of an industry.
2,"4) Sell - Sell your cotton, manufactured goods and pottery."
2,5) Loan - Take a £30 loan and reduce your income.
2,"Brass: Birmingham also features a new sixth action:
6) Scout - Discard three cards and take a wild location and wild industry card."
2,(This action replaces Double Action Build in original Brass.)
2,The game is played over two halves: the canal era (years 1770-1830) and the rail era (years 1830-1870).
2,"To win the game, score the most VPs."
2,"VPs are counted at the end of each half for the canals, rails and established (flipped) industry tiles."
2,Birmingham features dynamic scoring canals/rails.
2,"Instead of each flipped industry tile giving a static 1 VP to all connected canals and rails, many industries give 0 or even 2 VPs."
2,"This provides players with the opportunity to score much higher value canals in the first era, and creates interesting strategy with industry placement."
